2026-07-05 13:52:38 | INFO     | Stage 1: Schema discovery — scanning input files...
2026-07-05 13:52:39 | INFO     | Checkpoint: 0 already processed, 192 new items to process (of 192 total)
2026-07-05 13:52:39 | INFO     | Stage 2/3: Processing items with dual-dice routing + production guardrails...
2026-07-05 13:52:40 | WARNING  | Retrying __main__.APIClient._call in 2 seconds as it raised AuthenticationError: Error code: 401 - {'error': {'message': 'Invalid API Key', 'param': 'Please provide valid API Key', 'code': '401', 'type': 'invalid_key'}}.
2026-07-05 13:52:42 | WARNING  | Retrying __main__.APIClient._call in 4 seconds as it raised AuthenticationError: Error code: 401 - {'error': {'message': 'Invalid API Key', 'param': 'Please provide valid API Key', 'code': '401', 'type': 'invalid_key'}}.
2026-07-05 13:59:29 | INFO     | Stage 1: Schema discovery — scanning input files...
2026-07-05 13:59:30 | INFO     | Checkpoint: 0 already processed, 192 new items to process (of 192 total)
2026-07-05 13:59:30 | INFO     | Stage 2/3: Processing items with dual-dice routing + production guardrails...
2026-07-05 13:59:34 | WARNING  | Retrying __main__.APIClient._call in 2 seconds as it raised BadRequestError: Error code: 400 - {'error': {'message': 'Output data may contain inappropriate content. For details, see: https://help.aliyun.com/zh/model-studio/error-code#inappropriate-content', 'type': 'invalid_request_error', 'param': None, 'code': '400'}, 'request_id': '98d3a3d87671b76b'}.
2026-07-05 13:59:40 | WARNING  | Retrying __main__.APIClient._call in 4 seconds as it raised BadRequestError: Error code: 400 - {'error': {'message': 'Input data may contain inappropriate content. For details, see: https://help.aliyun.com/zh/model-studio/error-code#inappropriate-content', 'type': 'invalid_request_error', 'param': None, 'code': '400'}, 'request_id': '23d86223fe503c9a'}.
2026-07-05 13:59:46 | WARNING  | Retrying __main__.APIClient._call in 8 seconds as it raised BadRequestError: Error code: 400 - {'error': {'message': 'Input data may contain inappropriate content. For details, see: https://help.aliyun.com/zh/model-studio/error-code#inappropriate-content', 'type': 'invalid_request_error', 'param': None, 'code': '400'}, 'request_id': 'c309e94f2612f0a3'}.
2026-07-05 13:59:58 | WARNING  | Retrying __main__.APIClient._call in 16 seconds as it raised BadRequestError: Error code: 400 - {'error': {'message': 'Input data may contain inappropriate content. For details, see: https://help.aliyun.com/zh/model-studio/error-code#inappropriate-content', 'type': 'invalid_request_error', 'param': None, 'code': '400'}, 'request_id': 'beb89775622ef6cf'}.
2026-07-05 14:00:16 | ERROR    | API call failed after retries: Error code: 400 - {'error': {'message': 'Input data may contain inappropriate content. For details, see: https://help.aliyun.com/zh/model-studio/error-code#inappropriate-content', 'type': 'invalid_request_error', 'param': None, 'code': '400'}, 'request_id': '86b6becdcc5f6581'}
2026-07-05 14:00:18 | WARNING  | Retrying __main__.APIClient._call in 2 seconds as it raised BadRequestError: Error code: 400 - {'error': {'message': 'Output data may contain inappropriate content. For details, see: https://help.aliyun.com/zh/model-studio/error-code#inappropriate-content', 'type': 'invalid_request_error', 'param': None, 'code': '400'}, 'request_id': 'fe591d14e2944861'}.
2026-07-05 14:00:23 | WARNING  | Retrying __main__.APIClient._call in 4 seconds as it raised BadRequestError: Error code: 400 - {'error': {'message': 'Input data may contain inappropriate content. For details, see: https://help.aliyun.com/zh/model-studio/error-code#inappropriate-content', 'type': 'invalid_request_error', 'param': None, 'code': '400'}, 'request_id': 'ca7798347bbcfe18'}.
2026-07-05 14:00:31 | WARNING  | Retrying __main__.APIClient._call in 8 seconds as it raised BadRequestError: Error code: 400 - {'error': {'message': 'Input data may contain inappropriate content. For details, see: https://help.aliyun.com/zh/model-studio/error-code#inappropriate-content', 'type': 'invalid_request_error', 'param': None, 'code': '400'}, 'request_id': 'de8a110bf0921452'}.
2026-07-05 14:00:41 | WARNING  | Retrying __main__.APIClient._call in 16 seconds as it raised BadRequestError: Error code: 400 - {'error': {'message': 'Output data may contain inappropriate content. For details, see: https://help.aliyun.com/zh/model-studio/error-code#inappropriate-content', 'type': 'invalid_request_error', 'param': None, 'code': '400'}, 'request_id': 'd9a243dddd3fc158'}.
2026-07-05 14:00:59 | ERROR    | API call failed after retries: Error code: 400 - {'error': {'message': 'Input data may contain inappropriate content. For details, see: https://help.aliyun.com/zh/model-studio/error-code#inappropriate-content', 'type': 'invalid_request_error', 'param': None, 'code': '400'}, 'request_id': 'e28cac4aa5865466'}
2026-07-05 14:01:02 | WARNING  | Retrying __main__.APIClient._call in 2 seconds as it raised BadRequestError: Error code: 400 - {'error': {'message': 'Input data may contain inappropriate content. For details, see: https://help.aliyun.com/zh/model-studio/error-code#inappropriate-content', 'type': 'invalid_request_error', 'param': None, 'code': '400'}, 'request_id': '5d316d2b6ff77faa'}.
2026-07-05 14:01:07 | WARNING  | Retrying __main__.APIClient._call in 4 seconds as it raised BadRequestError: Error code: 400 - {'error': {'message': 'Input data may contain inappropriate content. For details, see: https://help.aliyun.com/zh/model-studio/error-code#inappropriate-content', 'type': 'invalid_request_error', 'param': None, 'code': '400'}, 'request_id': 'a11ce283ad7857c3'}.
2026-07-05 14:01:13 | WARNING  | Retrying __main__.APIClient._call in 8 seconds as it raised BadRequestError: Error code: 400 - {'error': {'message': 'Input data may contain inappropriate content. For details, see: https://help.aliyun.com/zh/model-studio/error-code#inappropriate-content', 'type': 'invalid_request_error', 'param': None, 'code': '400'}, 'request_id': '8aaf047e38b25219'}.
